date_time,Total Demand,Domestic,Commercial,Community_Productive
01-01-09 0:00,1100,1050,50,0
01-01-09 1:00,1100,1050,50,0
01-01-09 2:00,1100,1050,50,0
01-01-09 3:00,1100,1050,50,0
01-01-09 4:00,1645,1550,95,0
01-01-09 5:00,1945,1850,95,0
01-01-09 6:00,4515,3950,470,350
01-01-09 7:00,4320,3650,515,350
01-01-09 8:00,2250,1550,425,350
01-01-09 9:00,2145,1050,380,700
01-01-09 10:00,2205,1050,380,700
01-01-09 11:00,4250,3050,425,700
01-01-09 12:00,5720,4550,470,700
01-01-09 13:00,5720,4550,470,700
01-01-09 14:00,3810,3050,425,350
01-01-09 15:00,2810,2050,170,350
01-01-09 16:00,3065,2350,185,350
01-01-09 17:00,3765,3400,215,0
01-01-09 18:00,5850,5575,215,0
01-01-09 19:00,6360,6175,185,0
01-01-09 20:00,6360,6175,185,0
01-01-09 21:00,4640,4500,140,0
01-01-09 22:00,1745,1650,95,0
01-01-09 23:00,1400,1350,50,0
