Size kW,25%,gal/h,litre/h,Eff%,50%,gal/h,litre/h,Eff%,75%,gal/h,litre/h,Eff%,100%,gal/h,litre/h,Eff%
20,5,0.6,2.27,0.2201,10,0.9,3.41,0.2935,15,1.3,4.92,0.3048,20,1.6,6.06,0.3302
30,7.5,1.3,4.92,0.1524,15,1.8,6.81,0.2201,22.5,2.4,9.08,0.2477,30,2.9,10.98,0.2733
40,10,1.6,6.06,0.1651,20,2.3,8.71,0.2297,30,3.2,12.11,0.2477,40,4,15.14,0.2642
60,15,1.8,6.81,0.2201,30,2.9,10.98,0.2733,45,3.8,14.38,0.3128,60,4.8,18.17,0.3302
75,18.75,2.4,9.08,0.2064,37.5,3.4,12.87,0.2914,56.25,4.6,17.41,0.3230,75,6.1,23.09,0.3248
100,25,2.6,9.84,0.2540,50,4.1,15.52,0.3222,75,5.8,21.96,0.3416,100,7.4,28.01,0.3570
125,31.25,3.1,11.73,0.2663,62.5,5,18.93,0.3302,93.75,7.1,26.88,0.3488,125,9.1,34.45,0.3629
135,33.75,3.3,12.49,0.2702,67.5,5.4,20.44,0.3302,101.25,7.6,28.77,0.3519,135,9.8,37.10,0.3639
150,37.5,3.6,13.63,0.2752,75,5.9,22.33,0.3358,112.5,8.4,31.80,0.3538,150,10.9,41.26,0.3635
175,43.75,4.1,15.52,0.2819,87.5,6.8,25.74,0.3399,131.25,9.7,36.72,0.3574,175,12.7,48.07,0.3640
200,50,4.7,17.79,0.2810,100,7.7,29.15,0.3431,150,11,41.64,0.3602,200,14.4,54.51,0.3669
230,57.5,5.3,20.06,0.2866,115,8.8,33.31,0.3452,172.5,12.5,47.32,0.3646,230,16.6,62.84,0.3660
250,62.5,5.7,21.58,0.2897,125,9.5,35.96,0.3476,187.5,13.6,51.48,0.3642,250,18,68.14,0.3669
300,75,6.8,25.74,0.2914,150,11.3,42.78,0.3507,225,16.1,60.95,0.3692,300,21.5,81.39,0.3686
350,87.5,7.9,29.90,0.2926,175,13.1,49.59,0.3529,262.5,18.7,70.79,0.3708,350,25.1,95.01,0.3684
400,100,8.9,33.69,0.2968,200,14.9,56.40,0.3546,300,21.3,80.63,0.3721,400,28.6,108.26,0.3695
500,125,11,41.64,0.3002,250,18.5,70.03,0.3570,375,26.4,99.93,0.3752,500,35.7,135.14,0.3700
600,150,13.2,49.97,0.3002,300,22,83.28,0.3602,450,31.5,119.24,0.3774,600,42.8,162.02,0.3703
750,187.5,16.3,61.70,0.3039,375,27.4,103.72,0.3615,562.5,39.3,148.77,0.3781,750,53.4,202.14,0.3710
1000,250,21.6,81.76,0.3058,500,36.4,137.79,0.3629,750,52.1,197.22,0.3803,1000,71.1,269.14,0.3716
1250,312.5,26.9,101.83,0.3069,625,45.3,171.48,0.3645,937.5,65,246.05,0.3810,1250,88.8,336.14,0.3719
1500,375,32.2,121.89,0.3077,750,54.3,205.55,0.3649,1125,77.8,294.50,0.3820,1500,106.5,403.15,0.3721
1750,437.5,37.5,141.95,0.3082,875,63.2,239.24,0.3657,1312.5,90.7,343.34,0.3823,1750,124.2,470.15,0.3722
2000,500,42.8,162.02,0.3086,1000,72.2,273.31,0.3659,1500,103.5,391.79,0.3829,2000,141.9,537.15,0.3723
2250,562.5,48.1,182.08,0.3089,1125,81.1,307.00,0.3665,1687.5,116.4,440.62,0.3830,2250,159.6,604.15,0.3724
