bin no.,m/s,W,KWH/KW
0,0,0,0
1,0.5,0,0
2,1,0,0
3,1.5,0,0
4,2,0,0
5,2.5,0,0
6,3,0,0
7,3.5,0,0
8,4,17,0.005619835
9,4.5,74,0.02446281
10,5,166,0.054876033
11,5.5,282,0.09322314
12,6,422,0.139504132
13,6.5,582,0.192396694
14,7,763,0.252231405
15,7.5,965,0.319008264
16,8,1196,0.395371901
17,8.5,1434,0.474049587
18,9,1678,0.554710744
19,9.5,1926,0.636694215
20,10,2173,0.718347107
21,10.5,2377,0.785785124
22,11,2540,0.839669421
23,11.5,2648,0.875371901
24,12,2732,0.903140496
25,12.5,2773,0.916694215
26,13,2822,0.932892562
27,13.5,2849,0.941818182
28,14,2871,0.949090909
29,14.5,2885,0.953719008
30,15,2904,0.96
31,15.5,2917,0.964297521
32,16,2930,0.968595041
33,16.5,2937,0.970909091
34,17,2952,0.975867769
35,17.5,2962,0.979173554
36,18,2978,0.98446281
37,18.5,2987,0.987438017
38,19,2995,0.990082645
39,19.5,3025,1
40,20,3025,1
